ID,A00,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,Result
329,Never,Sometimes,Always,Always,Never,Never,Never,Never,Never,Never,Never,Always,Sometimes,Sometimes,Never,Never,Sometimes,Always,Always,Always,False
330,Always,Always,Always,Always,Sometimes,Sometimes,Never,Never,Never,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,Sometimes,True
331,Never,Never,Never,Never,Sometimes,Never,Sometimes,Never,Sometimes,Never,Always,Sometimes,Never,Never,Always,Never,Always,Sometimes,Sometimes,Sometimes,False
332,Always,Never,Always,Never,Never,Always,Never,Never,Always,Always,Never,Always,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Always,True
333,Always,Sometimes,Always,Always,Always,Never,Never,Always,Always,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Never,Never,Always,Never,Sometimes,False
334,Sometimes,Sometimes,Sometimes,Always,Always,Never,Always,Always,Never,Always,Sometimes,Always,Always,Never,Always,Sometimes,Never,Never,Never,Always,True
335,Sometimes,Never,Always,Always,Always,Always,Sometimes,Always,Sometimes,Always,Never,Sometimes,Sometimes,Always,Sometimes,Never,Always,Always,Never,Always,False
336,Never,Sometimes,Sometimes,Never,Never,Never,Never,Always,Never,Always,Never,Always,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,True
337,Sometimes,Always,Never,Never,Sometimes,Always,Always,Never,Never,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,False
338,Always,Never,Sometimes,Always,Never,Never,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,Always,Sometimes,Always,Always,Sometimes,True
339,Never,Never,Sometimes,Never,Never,Never,Never,Never,Sometimes,Never,Never,Always,Sometimes,Never,Sometimes,Always,Never,Sometimes,Never,Sometimes,False
340,Always,Always,Always,Never,Never,Always,Sometimes,Never,Sometimes,Never,Never,Sometimes,Never,Never,Always,Sometimes,Sometimes,Always,Sometimes,Never,True
341,Never,Sometimes,Never,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,Sometimes,Always,Never,Always,Always,Never,Always,Always,Always,False
342,Always,Never,Sometimes,Always,Never,Never,Sometimes,Never,Always,Never,Sometimes,Always,Always,Never,Never,Never,Sometimes,Never,Never,Always,True
343,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,Never,Never,Never,Never,Never,Sometimes,Sometimes,Always,Never,Always,Never,Always,Never,False
344,Never,Sometimes,Always,Always,Sometimes,Always,Always,Sometimes,Always,Sometimes,Never,Sometimes,Always,Always,Always,Never,Sometimes,Sometimes,Sometimes,Sometimes,True
345,Never,Sometimes,Always,Never,Never,Never,Never,Never,Never,Always,Always,Always,Never,Sometimes,Never,Always,Never,Always,Sometimes,Sometimes,False
346,Always,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,Never,Always,Never,Always,Always,Always,Sometimes,Sometimes,Sometimes,Never,Never,Always,True
347,Always,Never,Never,Sometimes,Always,Never,Never,Always,Always,Always,Always,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Never,Never,Sometimes,False
348,Never,Never,Sometimes,Never,Always,Sometimes,Always,Sometimes,Always,Always,Never,Sometimes,Always,Never,Never,Never,Always,Never,Sometimes,Sometimes,True
349,Always,Always,Never,Never,Never,Always,Never,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always,Always,Never,Never,Sometimes,False
350,Always,Always,Always,Never,Always,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Never,Never,Never,Always,Sometimes,Always,Never,True
351,Sometimes,Never,Never,Never,Never,Never,Sometimes,Sometimes,Never,Sometimes,Never,Always,Sometimes,Sometimes,Never,Never,Never,Never,Always,Always,False
352,Always,Always,Sometimes,Always,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,Never,Never,Never,Never,Always,Sometimes,Sometimes,Always,Sometimes,Always,True
353,Sometimes,Always,Never,Always,Always,Sometimes,Never,Always,Always,Sometimes,Sometimes,Always,Sometimes,Always,Always,Sometimes,Never,Sometimes,Never,Always,False
354,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,True
355,Never,Never,Never,Always,Sometimes,Never,Never,Never,Never,Always,Always,Never,Sometimes,Always,Never,Always,Never,Sometimes,Never,Always,False
356,Never,Always,Always,Always,Never,Never,Sometimes,Never,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,Always,Never,Sometimes,Sometimes,Never,Sometimes,True
357,Sometimes,Sometimes,Never,Sometimes,Never,Never,Never,Always,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,False
358,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Never,Always,Always,Always,Never,Always,Never,Always,Never,True
359,Sometimes,Sometimes,Never,Never,Sometimes,Never,Never,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,False
360,Never,Never,Sometimes,Sometimes,Always,Never,Sometimes,Always,Sometimes,Sometimes,Sometimes,Never,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,True
361,Never,Always,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Always,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,False
362,Always,Sometimes,Always,Always,Always,Always,Sometimes,Always,Always,Sometimes,Never,Never,Always,Never,Sometimes,Always,Never,Never,Sometimes,Never,True
363,Sometimes,Always,Never,Sometimes,Never,Always,Sometimes,Sometimes,Always,Always,Sometimes,Sometimes,Never,Sometimes,Sometimes,Always,Sometimes,Always,Never,Sometimes,False
364,Never,Never,Always,Never,Sometimes,Always,Never,Never,Sometimes,Always,Never,Sometimes,Always,Never,Always,Sometimes,Always,Sometimes,Sometimes,Never,True
365,Always,Always,Sometimes,Sometimes,Sometimes,Always,Always,Never,Always,Never,Always,Sometimes,Never,Sometimes,Always,Never,Never,Sometimes,Sometimes,Sometimes,False
366,Always,Always,Always,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Always,Sometimes,Always,Always,True
367,Always,Always,Never,Never,Always,Always,Never,Always,Never,Never,Always,Sometimes,Sometimes,Never,Always,Always,Always,Never,Always,Sometimes,False
368,Always,Never,Sometimes,Never,Always,Always,Sometimes,Always,Never,Never,Sometimes,Never,Never,Never,Sometimes,Never,Sometimes,Never,Sometimes,Never,True
369,Always,Never,Sometimes,Never,Always,Never,Sometimes,Always,Sometimes,Sometimes,Always,Never,Never,Never,Sometimes,Always,Never,Never,Never,Never,False
370,Never,Always,Never,Always,Sometimes,Always,Sometimes,Always,Never,Never,Never,Always,Always,Always,Always,Never,Always,Never,Always,Never,True
371,Never,Sometimes,Always,Always,Always,Always,Never,Never,Always,Never,Always,Always,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Always,False
372,Never,Sometimes,Never,Always,Sometimes,Never,Always,Sometimes,Never,Sometimes,Never,Never,Always,Never,Never,Never,Sometimes,Never,Always,Never,True
373,Sometimes,Sometimes,Always,Never,Always,Never,Never,Always,Always,Always,Always,Always,Sometimes,Sometimes,Sometimes,Never,Never,Always,Always,Always,False
374,Never,Never,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Always,Never,Sometimes,Always,Never,Always,Never,Sometimes,Never,Sometimes,True
375,Sometimes,Always,Never,Sometimes,Never,Never,Always,Always,Always,Never,Sometimes,Always,Always,Sometimes,Never,Always,Always,Always,Always,Sometimes,False
376,Always,Always,Sometimes,Always,Sometimes,Always,Never,Sometimes,Always,Always,Sometimes,Never,Sometimes,Always,Sometimes,Never,Never,Sometimes,Never,Always,True
377,Never,Never,Sometimes,Sometimes,Never,Always,Never,Never,Never,Never,Never,Never,Sometimes,Sometimes,Always,Sometimes,Never,Always,Sometimes,Sometimes,False
378,Always,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Never,Sometimes,Always,Never,Sometimes,Always,Always,Sometimes,Never,Sometimes,Always,True
379,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Never,Always,Always,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,Always,Always,False
380,Always,Never,Never,Never,Never,Always,Never,Never,Always,Always,Never,Sometimes,Never,Sometimes,Never,Always,Always,Always,Always,Always,True
381,Never,Always,Always,Sometimes,Sometimes,Always,Never,Always,Sometimes,Always,Always,Sometimes,Always,Never,Sometimes,Sometimes,Always,Never,Never,Always,False
382,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,Never,Always,Never,Always,Always,Always,True
383,Never,Sometimes,Never,Always,Never,Never,Sometimes,Sometimes,Always,Sometimes,Always,Never,Never,Sometimes,Always,Sometimes,Always,Never,Sometimes,Never,False
384,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Never,Always,Always,Never,Never,Never,Always,Never,Sometimes,Always,Never,Never,Always,Always,True
385,Always,Sometimes,Always,Always,Never,Sometimes,Never,Never,Sometimes,Always,Always,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,False
386,Never,Never,Never,Sometimes,Sometimes,Always,Always,Always,Never,Sometimes,Never,Sometimes,Never,Never,Sometimes,Always,Always,Always,Sometimes,Sometimes,True
387,Always,Always,Never,Always,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Never,Never,Always,Never,Sometimes,Never,Sometimes,Sometimes,False
388,Always,Always,Always,Always,Always,Never,Never,Always,Sometimes,Always,Never,Always,Never,Always,Always,Always,Sometimes,Sometimes,Always,Never,True
389,Sometimes,Sometimes,Never,Always,Sometimes,Always,Never,Always,Never,Sometimes,Sometimes,Always,Never,Always,Sometimes,Always,Never,Always,Sometimes,Always,False
390,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,Sometimes,Never,Never,Always,Sometimes,Never,Never,Always,Never,Always,Sometimes,Always,Never,Sometimes,True
391,Never,Never,Never,Always,Always,Sometimes,Sometimes,Always,Always,Always,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,False
392,Never,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,True
393,Never,Always,Never,Always,Always,Sometimes,Never,Sometimes,Never,Always,Always,Always,Never,Always,Sometimes,Sometimes,Always,Never,Never,Always,False
394,Always,Never,Never,Always,Always,Sometimes,Always,Sometimes,Never,Sometimes,Never,Sometimes,Always,Always,Never,Always,Sometimes,Sometimes,Sometimes,Always,True
395,Always,Never,Always,Sometimes,Sometimes,Always,Sometimes,Never,Always,Never,Never,Never,Sometimes,Sometimes,Never,Always,Sometimes,Never,Sometimes,Never,False
396,Never,Sometimes,Never,Never,Always,Always,Always,Always,Sometimes,Always,Never,Sometimes,Always,Always,Always,Sometimes,Always,Never,Sometimes,Never,True
397,Never,Always,Sometimes,Always,Never,Sometimes,Sometimes,Never,Always,Sometimes,Never,Sometimes,Sometimes,Never,Always,Sometimes,Always,Always,Never,Never,False
398,Always,Never,Always,Sometimes,Always,Sometimes,Always,Always,Never,Always,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Always,Never,Sometimes,Always,True
399,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Always,Always,Never,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Always,False
400,Sometimes,Never,Always,Sometimes,Never,Always,Always,Always,Sometimes,Always,Never,Never,Never,Never,Always,Sometimes,Sometimes,Always,Never,Sometimes,True
401,Always,Sometimes,Always,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,Never,Never,Always,Always,Always,Sometimes,Never,False
402,Never,Sometimes,Sometimes,Always,Sometimes,Always,Never,Sometimes,Sometimes,Never,Never,Never,Never,Sometimes,Never,Always,Sometimes,Never,Always,Always,True
403,Never,Sometimes,Never,Never,Always,Never,Always,Sometimes,Sometimes,Always,Always,Never,Never,Never,Always,Always,Always,Never,Sometimes,Always,False
404,Sometimes,Sometimes,Always,Always,Always,Always,Never,Never,Sometimes,Never,Never,Never,Never,Never,Always,Always,Always,Always,Always,Sometimes,True
405,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Always,Sometimes,Never,Always,Sometimes,Sometimes,Always,Always,Always,Never,Sometimes,Always,False
406,Sometimes,Always,Sometimes,Sometimes,Never,Always,Never,Sometimes,Always,Sometimes,Always,Never,Never,Never,Never,Never,Always,Sometimes,Always,Sometimes,True
407,Always,Never,Sometimes,Never,Sometimes,Never,Always,Always,Sometimes,Always,Always,Sometimes,Always,Always,Always,Sometimes,Never,Sometimes,Never,Always,False
408,Never,Always,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Always,Never,Always,Always,Never,Always,Always,Never,Never,Never,Always,Never,True
409,Sometimes,Never,Never,Never,Never,Sometimes,Never,Never,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,Always,False
410,Never,Never,Always,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Always,Sometimes,Always,Always,Never,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,True
411,Always,Always,Never,Always,Sometimes,Sometimes,Always,Always,Always,Always,Sometimes,Sometimes,Sometimes,Always,Never,Never,Always,Always,Always,Never,False
412,Always,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Always,Always,Never,Never,Always,Never,Never,Always,Always,Sometimes,Never,Never,Always,True
413,Sometimes,Never,Sometimes,Never,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Always,Never,Never,Sometimes,Sometimes,Never,Always,Sometimes,Never,False
414,Sometimes,Always,Always,Sometimes,Sometimes,Always,Always,Sometimes,Sometimes,Always,Sometimes,Always,Sometimes,Always,Always,Always,Never,Always,Always,Never,True
415,Always,Sometimes,Always,Always,Sometimes,Never,Always,Always,Always,Always,Always,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,False
416,Never,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,Always,Never,Never,Never,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,Never,Always,Sometimes,True
417,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always,Always,Never,Always,Never,Always,Sometimes,Sometimes,Always,Never,Always,Sometimes,Always,Sometimes,Never,False
418,Never,Never,Sometimes,Never,Never,Sometimes,Sometimes,Never,Always,Never,Never,Never,Always,Always,Never,Always,Never,Never,Sometimes,Sometimes,True
419,Always,Sometimes,Sometimes,Never,Sometimes,Always,Never,Always,Never,Always,Always,Always,Never,Sometimes,Always,Sometimes,Always,Always,Always,Never,False
420,Always,Never,Sometimes,Sometimes,Never,Never,Sometimes,Always,Sometimes,Always,Sometimes,Always,Sometimes,Never,Always,Sometimes,Always,Always,Always,Always,True
421,Always,Sometimes,Never,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Sometimes,Always,Always,Sometimes,Never,Never,Always,Always,False
422,Always,Sometimes,Always,Always,Never,Never,Sometimes,Always,Always,Never,Sometimes,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,Never,True
423,Always,Never,Always,Always,Never,Sometimes,Never,Never,Never,Always,Always,Always,Always,Never,Never,Never,Never,Always,Always,Never,False
424,Sometimes,Sometimes,Never,Sometimes,Never,Never,Never,Always,Sometimes,Always,Never,Never,Never,Sometimes,Sometimes,Always,Never,Sometimes,Always,Never,True
425,Never,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,Sometimes,Never,Always,Always,Sometimes,Always,Never,Never,Never,Always,Sometimes,Never,Sometimes,False
426,Sometimes,Never,Always,Never,Sometimes,Always,Always,Never,Sometimes,Sometimes,Never,Never,Always,Sometimes,Never,Sometimes,Sometimes,Always,Sometimes,Never,True
427,Always,Always,Always,Sometimes,Always,Never,Sometimes,Always,Sometimes,Never,Always,Always,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,False
428,Never,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,Sometimes,Always,Never,Sometimes,Never,Always,True
429,Sometimes,Always,Always,Never,Never,Sometimes,Never,Never,Always,Never,Always,Never,Sometimes,Always,Never,Sometimes,Never,Sometimes,Never,Sometimes,False
430,Sometimes,Never,Always,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,Always,Sometimes,Never,Always,Always,Never,Always,True
431,Never,Sometimes,Never,Always,Always,Never,Never,Sometimes,Always,Always,Sometimes,Never,Always,Never,Sometimes,Always,Never,Always,Always,Never,False
432,Never,Never,Never,Never,Never,Sometimes,Always,Never,Sometimes,Always,Never,Always,Never,Sometimes,Sometimes,Always,Never,Sometimes,Never,Always,True
433,Sometimes,Sometimes,Always,Sometimes,Always,Always,Always,Sometimes,Sometimes,Always,Always,Sometimes,Always,Sometimes,Never,Never,Always,Never,Never,Always,False
434,Never,Never,Always,Sometimes,Sometimes,Always,Never,Always,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,Always,Always,Sometimes,Never,Never,Sometimes,True
435,Always,Always,Always,Sometimes,Always,Never,Always,Sometimes,Never,Never,Always,Never,Never,Never,Never,Sometimes,Sometimes,Never,Never,Never,False
436,Always,Sometimes,Always,Sometimes,Never,Never,Never,Sometimes,Always,Never,Sometimes,Always,Sometimes,Sometimes,Always,Never,Always,Sometimes,Sometimes,Never,True
437,Never,Never,Never,Never,Never,Sometimes,Sometimes,Sometimes,Never,Never,Never,Sometimes,Sometimes,Never,Always,Sometimes,Never,Always,Never,Always,False
438,Always,Sometimes,Always,Never,Sometimes,Never,Sometimes,Always,Sometimes,Never,Sometimes,Sometimes,Never,Never,Always,Never,Never,Sometimes,Sometimes,Always,True
439,Sometimes,Sometimes,Sometimes,Never,Always,Sometimes,Sometimes,Always,Always,Sometimes,Always,Sometimes,Never,Always,Never,Always,Sometimes,Always,Never,Always,False
440,Always,Never,Sometimes,Never,Sometimes,Never,Sometimes,Always,Always,Sometimes,Never,Always,Never,Never,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,True
441,Always,Sometimes,Never,Never,Never,Sometimes,Never,Always,Always,Sometimes,Always,Never,Never,Always,Always,Always,Always,Never,Never,Sometimes,False
442,Always,Sometimes,Never,Never,Always,Never,Never,Always,Always,Never,Never,Never,Always,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,Never,True
443,Sometimes,Never,Never,Always,Sometimes,Sometimes,Never,Always,Never,Never,Always,Sometimes,Never,Never,Always,Sometimes,Always,Never,Sometimes,Never,False
444,Sometimes,Sometimes,Always,Always,Always,Never,Never,Always,Always,Always,Never,Sometimes,Always,Always,Always,Sometimes,Always,Always,Always,Never,True
445,Never,Never,Never,Always,Always,Never,Always,Sometimes,Sometimes,Never,Always,Always,Always,Always,Never,Sometimes,Never,Always,Sometimes,Never,False
446,Never,Sometimes,Always,Sometimes,Never,Always,Never,Never,Never,Never,Sometimes,Sometimes,Never,Always,Sometimes,Never,Never,Always,Always,Always,True
447,Sometimes,Always,Never,Sometimes,Always,Always,Always,Always,Sometimes,Never,Always,Always,Sometimes,Never,Never,Always,Sometimes,Sometimes,Always,Sometimes,False
448,Always,Never,Sometimes,Never,Always,Never,Always,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,Always,Never,Always,Sometimes,Sometimes,Never,Sometimes,True
449,Always,Never,Sometimes,Never,Always,Always,Sometimes,Always,Always,Always,Always,Sometimes,Never,Never,Never,Never,Sometimes,Never,Sometimes,Sometimes,False
450,Always,Never,Sometimes,Never,Never,Always,Never,Never,Always,Always,Sometimes,Never,Never,Never,Never,Always,Always,Always,Never,Sometimes,True
451,Always,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Never,Always,Always,Never,Always,Never,Never,Never,Never,Sometimes,Never,Sometimes,False
452,Always,Never,Never,Always,Always,Always,Always,Sometimes,Never,Never,Never,Always,Never,Always,Sometimes,Sometimes,Sometimes,Sometimes,Never,Never,True
453,Always,Always,Never,Always,Always,Sometimes,Never,Always,Always,Never,Always,Sometimes,Sometimes,Always,Never,Never,Never,Always,Sometimes,Always,False
454,Sometimes,Never,Sometimes,Never,Always,Never,Never,Always,Never,Always,Never,Sometimes,Always,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,True
455,Sometimes,Never,Sometimes,Sometimes,Always,Always,Never,Never,Never,Sometimes,Always,Always,Always,Never,Never,Never,Never,Sometimes,Sometimes,Always,False
456,Never,Always,Sometimes,Always,Never,Always,Never,Never,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Never,Always,Never,Always,True
457,Always,Always,Sometimes,Sometimes,Always,Always,Always,Sometimes,Never,Sometimes,Never,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,Sometimes,Sometimes,Always,False
458,Always,Sometimes,Sometimes,Always,Never,Always,Never,Never,Always,Sometimes,Always,Always,Never,Always,Sometimes,Never,Sometimes,Never,Always,Always,True
459,Always,Sometimes,Never,Always,Never,Sometimes,Always,Always,Never,Always,Always,Always,Sometimes,Sometimes,Never,Never,Never,Always,Sometimes,Always,False
460,Always,Sometimes,Always,Never,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes,Sometimes,Never,Never,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Always,True
461,Sometimes,Never,Always,Always,Never,Always,Sometimes,Always,Sometimes,Never,Always,Always,Never,Always,Never,Always,Sometimes,Always,Never,Sometimes,False
462,Never,Sometimes,Always,Sometimes,Always,Always,Never,Sometimes,Sometimes,Never,Never,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,Never,Sometimes,Always,True
463,Always,Never,Always,Always,Never,Always,Always,Always,Never,Never,Always,Never,Always,Never,Sometimes,Sometimes,Always,Never,Always,Never,False
464,Never,Always,Always,Sometimes,Never,Always,Never,Never,Sometimes,Always,Sometimes,Sometimes,Never,Sometimes,Never,Never,Always,Never,Sometimes,Always,True
465,Never,Always,Never,Always,Always,Always,Sometimes,Sometimes,Always,Always,Sometimes,Never,Sometimes,Always,Always,Sometimes,Never,Sometimes,Always,Always,False
466,Sometimes,Sometimes,Never,Always,Never,Never,Sometimes,Never,Never,Never,Sometimes,Never,Always,Always,Sometimes,Sometimes,Sometimes,Never,Never,Never,True
467,Always,Never,Always,Never,Sometimes,Never,Never,Never,Sometimes,Always,Always,Always,Always,Never,Sometimes,Never,Always,Never,Never,Never,False
468,Sometimes,Always,Always,Never,Sometimes,Always,Always,Never,Always,Always,Sometimes,Always,Sometimes,Never,Sometimes,Always,Never,Sometimes,Never,Always,True
469,Sometimes,Always,Sometimes,Sometimes,Always,Never,Sometimes,Always,Always,Always,Never,Sometimes,Sometimes,Never,Never,Never,Never,Always,Sometimes,Always,False
470,Sometimes,Never,Always,Sometimes,Sometimes,Always,Sometimes,Always,Never,Always,Sometimes,Always,Always,Always,Sometimes,Sometimes,Never,Always,Always,Always,True
471,Never,Never,Never,Sometimes,Never,Always,Always,Sometimes,Never,Sometimes,Always,Always,Sometimes,Sometimes,Always,Never,Never,Sometimes,Sometimes,Sometimes,False
472,Never,Sometimes,Sometimes,Always,Sometimes,Never,Sometimes,Always,Never,Always,Never,Always,Never,Sometimes,Never,Always,Always,Never,Never,Always,True
473,Sometimes,Sometimes,Always,Always,Never,Sometimes,Sometimes,Sometimes,Always,Never,Always,Never,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,Sometimes,Always,False
474,Sometimes,Sometimes,Always,Always,Always,Never,Never,Never,Always,Never,Sometimes,Always,Always,Never,Sometimes,Sometimes,Sometimes,Always,Never,Sometimes,True
475,Always,Always,Never,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Sometimes,Always,Always,Never,Always,Always,Sometimes,False
476,Always,Always,Sometimes,Always,Never,Sometimes,Always,Always,Always,Never,Never,Sometimes,Always,Never,Sometimes,Never,Always,Never,Sometimes,Never,True
477,Sometimes,Always,Never,Always,Always,Never,Never,Always,Always,Always,Sometimes,Never,Sometimes,Never,Always,Sometimes,Never,Always,Always,Sometimes,False
478,Sometimes,Never,Always,Never,Never,Always,Never,Never,Never,Never,Sometimes,Never,Never,Always,Always,Always,Always,Sometimes,Sometimes,Sometimes,True
479,Never,Sometimes,Never,Always,Sometimes,Always,Always,Always,Never,Never,Always,Never,Always,Always,Always,Always,Never,Sometimes,Never,Never,False
480,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Never,Always,Never,Never,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Never,Always,Never,Sometimes,True
481,Always,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Always,Always,Always,Always,Sometimes,Never,Always,Sometimes,Always,Always,Never,Always,Never,False
482,Sometimes,Always,Sometimes,Sometimes,Sometimes,Always,Always,Never,Always,Always,Never,Always,Never,Never,Sometimes,Never,Never,Never,Never,Always,True
483,Sometimes,Always,Always,Never,Never,Never,Always,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Sometimes,Always,Never,Never,Always,Never,Always,False
484,Sometimes,Sometimes,Sometimes,Never,Always,Always,Sometimes,Always,Always,Always,Never,Always,Always,Sometimes,Always,Always,Sometimes,Never,Sometimes,Never,True
485,Sometimes,Always,Always,Sometimes,Sometimes,Always,Sometimes,Never,Sometimes,Always,Always,Always,Always,Never,Never,Sometimes,Never,Sometimes,Always,Never,False
486,Sometimes,Never,Never,Always,Sometimes,Always,Sometimes,Always,Always,Never,Never,Never,Never,Sometimes,Always,Sometimes,Sometimes,Always,Always,Always,True
487,Never,Sometimes,Never,Never,Never,Never,Always,Never,Sometimes,Never,Sometimes,Always,Sometimes,Always,Always,Never,Always,Sometimes,Always,Never,False
488,Sometimes,Sometimes,Always,Never,Sometimes,Sometimes,Never,Always,Sometimes,Always,Sometimes,Always,Sometimes,Sometimes,Never,Always,Never,Sometimes,Always,Sometimes,True
489,Sometimes,Sometimes,Never,Never,Always,Never,Always,Never,Sometimes,Sometimes,Always,Sometimes,Never,Always,Always,Never,Never,Never,Sometimes,Always,False
490,Always,Always,Always,Always,Always,Always,Always,Always,Sometimes,Never,Never,Sometimes,Always,Never,Sometimes,Never,Always,Always,Always,Always,True
491,Always,Sometimes,Always,Sometimes,Sometimes,Sometimes,Sometimes,Always,Sometimes,Sometimes,Always,Never,Sometimes,Never,Never,Never,Sometimes,Always,Always,Sometimes,False
492,Always,Always,Sometimes,Sometimes,Never,Always,Sometimes,Never,Never,Sometimes,Always,Always,Never,Always,Never,Never,Always,Never,Never,Never,True
493,Always,Sometimes,Never,Never,Always,Never,Sometimes,Never,Always,Sometimes,Sometimes,Sometimes,Sometimes,Never,Sometimes,Always,Never,Never,Never,Sometimes,False
494,Sometimes,Never,Sometimes,Never,Sometimes,Never,Sometimes,Never,Never,Never,Sometimes,Sometimes,Always,Sometimes,Never,Sometimes,Always,Never,Always,Never,True
